,WGS84 / UTM zone 37N,32637,,,,,,WGS84 / UTM zone 37S,32737,,
,WGS84 / UTM zone 38N,32638,,,,,,WGS84 / UTM zone 38S,32738,,
,WGS84 / UTM zone 39N,32639,,,,,,WGS84 / UTM zone 39S,32739,,
,WGS84 / UTM zone 40N,32640,,,,,,WGS84 / UTM zone 40S,32740,,
,WGS84 / UTM zone 41N,32641,,,,,,WGS84 / UTM zone 41S,32741,,
,WGS84 / UTM zone 42N,32642,,,,,,WGS84 / UTM zone 42S,32742,,
,WGS84 / UTM zone 43N,32643,,,,,,WGS84 / UTM zone 43S,32743,,
,WGS84 / UTM zone 44N,32644,,,,,,WGS84 / UTM zone 44S,32744,,
,WGS84 / UTM zone 45N,32645,,,,,,WGS84 / UTM zone 45S,32745,,
,WGS84 / UTM zone 46N,32646,,,,,,WGS84 / UTM zone 46S,32746,,
,WGS84 / UTM zone 47N,32647,,,,,,WGS84 / UTM zone 47S,32747,,
,WGS84 / UTM zone 48N,32648,,,,,,WGS84 / UTM zone 48S,32748,,
,WGS84 / UTM zone 49N,32649,,,,,,WGS84 / UTM zone 49S,32749,,
,WGS84 / UTM zone 50N,32650,,,,,,WGS84 / UTM zone 50S,32750,,
,WGS84 / UTM zone 51N,32651,,,,,,WGS84 / UTM zone 51S,32751,,
,WGS84 / UTM zone 52N,32652,,,,,,WGS84 / UTM zone 52S,32752,,
,WGS84 / UTM zone 53N,32653,,,,,,WGS84 / UTM zone 53S,32753,,
,WGS84 / UTM zone 54N,32654,,,,,,WGS84 / UTM zone 54S,32754,,
,WGS84 / UTM zone 55N,32655,,,,,,WGS84 / UTM zone 55S,32755,,
,WGS84 / UTM zone 56N,32656,,,,,,WGS84 / UTM zone 56S,32756,,
,WGS84 / UTM zone 57N,32657,,,,,,WGS84 / UTM zone 57S,32757,,
,WGS84 / UTM zone 58N,32658,,,,,,WGS84 / UTM zone 58S,32758,,
,WGS84 / UTM zone 59N,32659,,,,,,WGS84 / UTM zone 59S,32759,,
,WGS84 / UTM zone 60N,32660,,,,,,WGS84 / UTM zone 60S,32760,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,PSAD56 A WGS84 / WGS84 A PSAD56,,,,,,,,
,,,,,,,,,,,
,Universal Transversal Mercator (UTM),,,,,,,Universal Transversal Mercator (UTM),,,
,PSAD56,,,,,,,WGS84,,,
,,,,,,,,,,,
,,,,,,,,,,,
HEMISFERIO,NORTE,,,,,,,HEMISFERIO,NORTE,,
,,,,,,,,,,,
,SRC,EPSG,,,,,,SRC,EPSG,,
,PSAD56 / UTM zone 17N,24817,,,,,,WGS84 / UTM zone 17N,32617,,
,PSAD56 / UTM zone 18N,24818,,,,,,WGS84 / UTM zone 18N,32618,,
,PSAD56 / UTM zone 19N,24819,,,,,,WGS84 / UTM zone 19N,32619,,
,PSAD56 / UTM zone 20N,24820,,,,,,WGS84 / UTM zone20N,32620,,
,PSAD56 / UTM zone 21N,24821,,,,,,WGS84 / UTM zone 21N,32621,,
,,,,,,,,,,,
,,,,,,,,,,,
HEMISFERIO,NORTE,,,,,,,HEMISFERIO,NORTE,,
,,,,,,,,,,,
GRUPO,SRC,EPSG,,,,,,,,,
PSAD56,PSAD56 / UTM zone 17S,24877,,,,,,,,,
PSAD57,PSAD56 / UTM zone 18S,24878,,,,,,,,,
PSAD58,PSAD56 / UTM zone 19S,24879,,,,,,,,,
PSAD59,PSAD56 / UTM zone 20S,24880,,,,,,,,,
PSAD60,PSAD56 / UTM zone 21S,24881,,,,,,,,,
PSAD61,PSAD56 / UTM zone 22S,24882,,,,,,,,,
WGS84,WGS84 / UTM zone 17S,32717,,,,,,,,,
WGS85,WGS84 / UTM zone 18S,32718,,,,,,,,,
WGS86,WGS84 / UTM zone 19S,32719,,,,,,,,,
WGS87,WGS84 / UTM zone 20S,32720,,,,,,,,,
WGS88,WGS84 / UTM zone 21S,32721,,,,,,,,,
WGS89,WGS84 / UTM zone 22S,32722,,,,,,,,,
